Variable_Name,Variable Desc,Who,Sales Channel,Product,Activity,Metric,Category
UM_Digitaldir_1P_Sales_Units_OE,Dependent,UM,Digitaldir,1P,Sales,Units,OE
UM_Digitalind_1P_Sales_Units_OE,Dependant,UM,Digitalind,1P,Sales,Units,OE
UM_D2DTeleout_2P_Sales_Units_OE,Dependant,UM,D2DTeleout,2P,Sales,Units,OE
UM_TeleinSiS_2P_Sales_Units_OE,Dependant,UM,TeleinSiS,2P,Sales,Units,OE
UM_Retaildir_2P_Sales_Units_OE,Dependant,UM,Retaildir,2P,Sales,Units,OE
UM_Retailind_2P_Sales_Units_OE,Dependant,UM,Retailind,2P,Sales,Units,OE
UM_Digitaldir_2P_Sales_Units_OE,Dependant,UM,Digitaldir,2P,Sales,Units,OE
UM_Digitalind_2P_Sales_Units_OE,Dependant,UM,Digitalind,2P,Sales,Units,OE
UM_D2DTeleout_3P_Sales_Units_OE,Dependant,UM,D2DTeleout,3P,Sales,Units,OE
UM_TeleinSiS_3P_Sales_Units_OE,Dependant,UM,TeleinSiS,3P,Sales,Units,OE
UM_Retaildir_3P_Sales_Units_OE,Dependant,UM,Retaildir,3P,Sales,Units,OE
UM_Retailind_3P_Sales_Units_OE,Dependant,UM,Retailind,3P,Sales,Units,OE
UM_Digitaldir_3P_Sales_Units_OE,Dependant,UM,Digitaldir,3P,Sales,Units,OE
UM_Digitalind_3P_Sales_Units_OE,Dependant,UM,Digitalind,3P,Sales,Units,OE
UM_D2DTeleout_BCS_Sales_Units_OE,Dependant,UM,D2DTeleout,BCS,Sales,Units,OE
UM_TeleinSiS_BCS_Sales_Units_OE,Dependant,UM,TeleinSiS,BCS,Sales,Units,OE
UM_Retail_BCS_Sales_Units_OE,Dependant,UM,Retail,BCS,Sales,Units,OE
UM_Digital_BCS_Sales_Units_OE,Dependant,UM,Digital,BCS,Sales,Units,OE
UM_AllChan_AllProd_Radio_GRP,Independent,UM,AllChan,AllProd,Radio,GRP,GRP
UM_AllChan_TV_Radio_GRP,Independent,UM,AllChan,TV,Radio,GRP,GRP
UM_AllChan_HSIn_Radio_GRP,Independent,UM,AllChan,HSIn,Radio,GRP,GRP
UM_AllChan_Tel_Radio_GRP,Independent,UM,AllChan,Tel,Radio,GRP,GRP
UM_AllChan_2P_Radio_GRP,Independent,UM,AllChan,2P,Radio,GRP,GRP
UM_AllChan_3P_Radio_GRP,Independent,UM,AllChan,3P,Radio,GRP,GRP
UM_AllChan_Mob_Radio_GRP,Independent,UM,AllChan,Mob,Radio,GRP,GRP
UM_AllChan_B2B_Radio_GRP,Independent,UM,AllChan,B2B,Radio,GRP,GRP
UM_AllChan_AllProd_TV_GRP,Independent,UM,AllChan,AllProd,TV,GRP,GRP
UM_AllChan_TV_TV_GRP,Independent,UM,AllChan,TV,TV,GRP,GRP
UM_AllChan_HSIn_TV_GRP,Independent,UM,AllChan,HSIn,TV,GRP,GRP
UM_AllChan_Tel_TV_GRP,Independent,UM,AllChan,Tel,TV,GRP,GRP
UM_AllChan_2P_TV_GRP,Independent,UM,AllChan,2P,TV,GRP,GRP
UM_AllChan_3P_TV_GRP,Independent,UM,AllChan,3P,TV,GRP,GRP
UM_AllChan_Mob_TV_GRP,Independent,UM,AllChan,Mob,TV,GRP,GRP
UM_AllChan_B2B_TV_GRP,Independent,UM,AllChan,B2B,TV,GRP,GRP
UM_AllChan_AllProd_Radio_SpendGross,Independent,UM,AllChan,AllProd,Radio,SpendGross,Spend
UM_AllChan_TV_Radio_SpendGross,Independent,UM,AllChan,TV,Radio,SpendGross,Spend
UM_AllChan_HSIn_Radio_SpendGross,Independent,UM,AllChan,HSIn,Radio,SpendGross,Spend
UM_AllChan_Tel_Radio_SpendGross,Independent,UM,AllChan,Tel,Radio,SpendGross,Spend
UM_AllChan_2P_Radio_SpendGross,Independent,UM,AllChan,2P,Radio,SpendGross,Spend
UM_AllChan_3P_Radio_SpendGross,Independent,UM,AllChan,3P,Radio,SpendGross,Spend
UM_AllChan_Mob_Radio_SpendGross,Independent,UM,AllChan,Mob,Radio,SpendGross,Spend
UM_AllChan_B2B_Radio_SpendGross,Independent,UM,AllChan,B2B,Radio,SpendGross,Spend
UM_AllChan_AllProd_TV_SpendGross,Independent,UM,AllChan,AllProd,TV,SpendGross,Spend
UM_AllChan_TV_TV_SpendGross,Independent,UM,AllChan,TV,TV,SpendGross,Spend
UM_AllChan_HSIn_TV_SpendGross,Independent,UM,AllChan,HSIn,TV,SpendGross,Spend
UM_AllChan_Tel_TV_SpendGross,Independent,UM,AllChan,Tel,TV,SpendGross,Spend
UM_AllChan_2P_TV_SpendGross,Independent,UM,AllChan,2P,TV,SpendGross,Spend
UM_AllChan_3P_TV_SpendGross,Independent,UM,AllChan,3P,TV,SpendGross,Spend
UM_AllChan_Mob_TV_SpendGross,Independent,UM,AllChan,Mob,TV,SpendGross,Spend
UM_AllChan_B2B_TV_SpendGross,Independent,UM,AllChan,B2B,TV,SpendGross,Spend
UM_AllChan_AllProd_Internet_SpendGross,Independent,UM,AllChan,AllProd,Internet,SpendGross,Spend
UM_AllChan_TV_Internet_SpendGross,Independent,UM,AllChan,TV,Internet,SpendGross,Spend
UM_AllChan_HSIn_Internet_SpendGross,Independent,UM,AllChan,HSIn,Internet,SpendGross,Spend
UM_AllChan_Tel_Internet_SpendGross,Independent,UM,AllChan,Tel,Internet,SpendGross,Spend
UM_AllChan_2P_Internet_SpendGross,Independent,UM,AllChan,2P,Internet,SpendGross,Spend
UM_AllChan_3P_Internet_SpendGross,Independent,UM,AllChan,3P,Internet,SpendGross,Spend
UM_AllChan_Mob_Internet_SpendGross,Independent,UM,AllChan,Mob,Internet,SpendGross,Spend
UM_AllChan_B2B_Internet_SpendGross,Independent,UM,AllChan,B2B,Internet,SpendGross,Spend
UM_AllChan_AllProd_TradePress_SpendGross,Independent,UM,AllChan,AllProd,TradePress,SpendGross,Spend
